Trip Duration (secs),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1048,19:54.3,37:22.9,3267,Morris Canal,40.71241882,-74.03852552,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42574,Subscriber,1965,female
416,20:20.4,27:16.8,3186,Grove St PATH,40.71958612,-74.04311746,3202,Newport PATH,40.7272235,-74.03375890000001,42805,Subscriber,1962,male
222,21:04.7,24:47.0,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42120,Subscriber,1960,male
860,21:21.0,35:41.4,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3278,Monmouth and 6th,40.72568548,-74.04879034,44236,Subscriber,1991,male
205,22:11.4,25:37.0,3275,Columbus Drive,40.718355200000005,-74.03891444,3186,Grove St PATH,40.71958612,-74.04311746,42323,Subscriber,1970,male
799,22:41.7,36:00.9,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3278,Monmouth and 6th,40.72568548,-74.04879034,44370,Subscriber,1991,male
1925,23:09.5,55:14.6,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,46193,Customer,1983,male
490,23:24.6,31:35.1,3220,5 Corners Library,40.73496102,-74.05950308,3213,Van Vorst Park,40.71848892,-74.04772663,46410,Customer,1992,male
6680,25:34.2,16:54.5,3187,Warren St,40.721123600000006,-74.03805095,3187,Warren St,40.721123600000006,-74.03805095,45341,Customer,1990,female
195,25:53.3,29:09.3,3220,5 Corners Library,40.73496102,-74.05950308,3201,Dey St,40.737711,-74.066921,28364,Subscriber,1961,male
6609,26:27.1,16:37.0,3187,Warren St,40.721123600000006,-74.03805095,3187,Warren St,40.721123600000006,-74.03805095,42528,Subscriber,1986,male
260,27:01.9,31:22.1,3205,JC Medical Center,40.71653978,-74.04963791,3276,Marin Light Rail,40.71458404,-74.04281706,42267,Subscriber,1988,male
2018,35:07.1,08:45.1,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,40866,Subscriber,1994,male
1953,38:53.8,11:27.7,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.721123600000006,-74.03805095,44603,Subscriber,1997,female
1041,40:57.8,58:19.4,3194,McGinley Square,40.72533993,-74.06762213,3202,Newport PATH,40.7272235,-74.03375890000001,45363,Subscriber,1996,male
222,41:26.8,45:09.4,3186,Grove St PATH,40.71958612,-74.04311746,3187,Warren St,40.721123600000006,-74.03805095,42323,Subscriber,1970,male
470,41:30.3,49:20.7,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,45713,Subscriber,1991,male
1865,42:22.2,13:27.3,3198,Heights Elevator,40.74871595,-74.04044329999999,3192,Liberty Light Rail,40.711242299999995,-74.0557013,44732,Subscriber,1993,female
406,42:55.2,49:42.0,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,45550,Subscriber,1960,male
1829,43:09.5,13:39.3,3198,Heights Elevator,40.74871595,-74.04044329999999,3192,Liberty Light Rail,40.711242299999995,-74.0557013,48913,Customer,1994,female
1322,44:32.5,06:35.4,3639,Harborside,40.71925170000001,-74.034234,3194,McGinley Square,40.72533993,-74.06762213,42493,Subscriber,1973,female
386,44:35.4,51:02.0,3276,Marin Light Rail,40.71458404,-74.04281706,3267,Morris Canal,40.71241882,-74.03852552,48930,Subscriber,1995,female
5389,45:22.9,15:12.6,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42267,Subscriber,1981,male
